duration: 10, msg_len: 100, n_ranks: 2, iteration: 1, elapsed: 2.545471
duration: 10, msg_len: 100, n_ranks: 2, iteration: 2, elapsed: 2.545707
duration: 10, msg_len: 100, n_ranks: 2, iteration: 3, elapsed: 2.529000
duration: 10, msg_len: 100, n_ranks: 2, iteration: 4, elapsed: 2.537262
duration: 10, msg_len: 100, n_ranks: 2, iteration: 5, elapsed: 2.550656
duration: 10, msg_len: 100, n_ranks: 3, iteration: 1, elapsed: 2.350677
duration: 10, msg_len: 100, n_ranks: 3, iteration: 2, elapsed: 2.361435
duration: 10, msg_len: 100, n_ranks: 3, iteration: 3, elapsed: 2.346881
duration: 10, msg_len: 100, n_ranks: 3, iteration: 4, elapsed: 2.340023
duration: 10, msg_len: 100, n_ranks: 3, iteration: 5, elapsed: 2.355956
duration: 10, msg_len: 100, n_ranks: 4, iteration: 1, elapsed: 2.329330
duration: 10, msg_len: 100, n_ranks: 4, iteration: 2, elapsed: 2.284038
duration: 10, msg_len: 100, n_ranks: 4, iteration: 3, elapsed: 2.286056
duration: 10, msg_len: 100, n_ranks: 4, iteration: 4, elapsed: 2.286257
duration: 10, msg_len: 100, n_ranks: 4, iteration: 5, elapsed: 2.288349
duration: 10, msg_len: 1000, n_ranks: 1, iteration: 1, elapsed: 4.212801
duration: 10, msg_len: 1000, n_ranks: 1, iteration: 2, elapsed: 4.204730
duration: 10, msg_len: 1000, n_ranks: 1, iteration: 3, elapsed: 4.211301
duration: 10, msg_len: 1000, n_ranks: 1, iteration: 4, elapsed: 4.211289
duration: 10, msg_len: 1000, n_ranks: 1, iteration: 5, elapsed: 4.199170
duration: 10, msg_len: 1000, n_ranks: 2, iteration: 1, elapsed: 2.541872
duration: 10, msg_len: 1000, n_ranks: 2, iteration: 2, elapsed: 2.529983
duration: 10, msg_len: 1000, n_ranks: 2, iteration: 3, elapsed: 2.532212
duration: 10, msg_len: 1000, n_ranks: 2, iteration: 4, elapsed: 2.565444
duration: 10, msg_len: 1000, n_ranks: 2, iteration: 5, elapsed: 2.551730
duration: 10, msg_len: 1000, n_ranks: 3, iteration: 1, elapsed: 2.361802
duration: 10, msg_len: 1000, n_ranks: 3, iteration: 2, elapsed: 2.404561
duration: 10, msg_len: 1000, n_ranks: 3, iteration: 3, elapsed: 2.419423
duration: 10, msg_len: 1000, n_ranks: 3, iteration: 4, elapsed: 2.399686
duration: 10, msg_len: 1000, n_ranks: 3, iteration: 5, elapsed: 2.389372
duration: 10, msg_len: 1000, n_ranks: 4, iteration: 1, elapsed: 1.766975
duration: 10, msg_len: 1000, n_ranks: 4, iteration: 2, elapsed: 1.738561
duration: 10, msg_len: 1000, n_ranks: 4, iteration: 3, elapsed: 1.758800
duration: 10, msg_len: 1000, n_ranks: 4, iteration: 4, elapsed: 1.827904
duration: 10, msg_len: 1000, n_ranks: 4, iteration: 5, elapsed: 1.803219
duration: 10, msg_len: 10000, n_ranks: 1, iteration: 1, elapsed: 4.482576
duration: 10, msg_len: 10000, n_ranks: 1, iteration: 2, elapsed: 4.303009
duration: 10, msg_len: 10000, n_ranks: 1, iteration: 3, elapsed: 4.324562
duration: 10, msg_len: 10000, n_ranks: 1, iteration: 4, elapsed: 4.261886
duration: 10, msg_len: 10000, n_ranks: 1, iteration: 5, elapsed: 4.312008
duration: 10, msg_len: 10000, n_ranks: 2, iteration: 1, elapsed: 2.583508
duration: 10, msg_len: 10000, n_ranks: 2, iteration: 2, elapsed: 2.552374
duration: 10, msg_len: 10000, n_ranks: 2, iteration: 3, elapsed: 2.576370
duration: 10, msg_len: 10000, n_ranks: 2, iteration: 4, elapsed: 2.546430
duration: 10, msg_len: 10000, n_ranks: 2, iteration: 5, elapsed: 2.559256
duration: 10, msg_len: 10000, n_ranks: 3, iteration: 1, elapsed: 2.398364
duration: 10, msg_len: 10000, n_ranks: 3, iteration: 2, elapsed: 2.421196
duration: 10, msg_len: 10000, n_ranks: 3, iteration: 3, elapsed: 2.373450
duration: 10, msg_len: 10000, n_ranks: 3, iteration: 4, elapsed: 2.376875
duration: 10, msg_len: 10000, n_ranks: 3, iteration: 5, elapsed: 2.427683
duration: 10, msg_len: 10000, n_ranks: 4, iteration: 1, elapsed: 1.726616
duration: 10, msg_len: 10000, n_ranks: 4, iteration: 2, elapsed: 1.728094
duration: 10, msg_len: 10000, n_ranks: 4, iteration: 3, elapsed: 1.731148
duration: 10, msg_len: 10000, n_ranks: 4, iteration: 4, elapsed: 1.999374
duration: 10, msg_len: 10000, n_ranks: 4, iteration: 5, elapsed: 2.003049
duration: 10, msg_len: 100000, n_ranks: 1, iteration: 1, elapsed: 4.287758
duration: 10, msg_len: 100000, n_ranks: 1, iteration: 2, elapsed: 4.286801
duration: 10, msg_len: 100000, n_ranks: 1, iteration: 3, elapsed: 4.291866
duration: 10, msg_len: 100000, n_ranks: 1, iteration: 4, elapsed: 4.271277
duration: 10, msg_len: 100000, n_ranks: 1, iteration: 5, elapsed: 4.280409
duration: 10, msg_len: 100000, n_ranks: 2, iteration: 1, elapsed: 2.560883
duration: 10, msg_len: 100000, n_ranks: 2, iteration: 2, elapsed: 2.573096
duration: 10, msg_len: 100000, n_ranks: 2, iteration: 3, elapsed: 2.563168
duration: 10, msg_len: 100000, n_ranks: 2, iteration: 4, elapsed: 2.569374
duration: 10, msg_len: 100000, n_ranks: 2, iteration: 5, elapsed: 2.597775
duration: 10, msg_len: 100000, n_ranks: 3, iteration: 1, elapsed: 2.778323
duration: 10, msg_len: 100000, n_ranks: 3, iteration: 2, elapsed: 2.785011
duration: 10, msg_len: 100000, n_ranks: 3, iteration: 3, elapsed: 2.748705
duration: 10, msg_len: 100000, n_ranks: 3, iteration: 4, elapsed: 2.783570
duration: 10, msg_len: 100000, n_ranks: 3, iteration: 5, elapsed: 2.762201
duration: 10, msg_len: 100000, n_ranks: 4, iteration: 1, elapsed: 2.028711
duration: 10, msg_len: 100000, n_ranks: 4, iteration: 2, elapsed: 2.187353
duration: 10, msg_len: 100000, n_ranks: 4, iteration: 3, elapsed: 2.241938
duration: 10, msg_len: 100000, n_ranks: 4, iteration: 4, elapsed: 2.188676
duration: 10, msg_len: 100000, n_ranks: 4, iteration: 5, elapsed: 2.229797
duration: 10, msg_len: 1000000, n_ranks: 1, iteration: 1, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 1, iteration: 2, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 1, iteration: 3, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 1, iteration: 4, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 1, iteration: 5, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 2, iteration: 1, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 2, iteration: 2, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 2, iteration: 3, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 2, iteration: 4, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 2, iteration: 5, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 3, iteration: 1, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 3, iteration: 2, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 3, iteration: 3, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 3, iteration: 4, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 3, iteration: 5, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 4, iteration: 1, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 4, iteration: 2, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 4, iteration: 3, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 4, iteration: 4, elapsed: too_large
duration: 10, msg_len: 1000000, n_ranks: 4, iteration: 5, elapsed: too_large
duration: 20, msg_len: 100, n_ranks: 1, iteration: 1, elapsed: 8.682683
duration: 20, msg_len: 100, n_ranks: 1, iteration: 2, elapsed: 8.537871
duration: 20, msg_len: 100, n_ranks: 1, iteration: 3, elapsed: 8.513767
